시도,합계,월,시군구
전라남도,450191,201806,나주
전라남도,100754,201806,담양
전라남도,462197,201806,목포
전라남도,89546,201806,무안
전라남도,29981,201806,보성
전라남도,703637,201806,순천
전라남도,6424,201806,신안
전라남도,756379,201806,여수
전라남도,11627,201806,영광
전라남도,34425,201806,영암
전라남도,6434,201806,완도
전라남도,48804,201806,장성
전라남도,24,201806,장흥
전라남도,42423,201806,함평
전라남도,11432,201806,해남
전라남도,234769,201806,화순
경상북도,1220443,201806,경산
경상북도,483330,201806,경주
경상북도,36461,201806,고령
경상북도,697938,201806,구미
경상북도,17,201806,군위
경상북도,208017,201806,김천
경상북도,42094,201806,문경
경상북도,4862,201806,봉화
경상북도,32624,201806,상주
경상북도,20054,201806,성주
경상북도,331646,201806,안동
경상북도,10,201806,영덕
경상북도,92799,201806,영주
경상북도,151404,201806,영천
경상북도,30857,201806,예천
경상북도,11513,201806,울릉
경상북도,20053,201806,울진
경상북도,14078,201806,의성
경상북도,13396,201806,청도
경상북도,154,201806,청송
경상북도,73409,201806,칠곡
경상북도,913998,201806,포항
경상남도,407593,201806,거제
경상남도,1653,201806,고성
경상남도,1769626,201806,김해
경상남도,1622,201806,남해
경상남도,76377,201806,밀양
경상남도,51432,201806,사천
경상남도,142,201806,산청
경상남도,1672639,201806,양산
경상남도,1972,201806,의령
경상남도,1100645,201806,진주
경상남도,320,201806,창녕
경상남도,3525841,201806,창원
경상남도,400091,201806,통영
경상남도,810,201806,하동
경상남도,49097,201806,함안
경상남도,326,201806,합천
제주특별자치도,496308,201806,서귀포
제주특별자치도,1614019,201806,제주
광주광역시,5688108,201807,광주광역시
대구광역시,13008631,201807,대구광역시
